"ID",Sort Order,Procedure Name,Slug,Category,Category Label,Short Description,Full Description,Common Uses / Indications,Key Benefits,What To Expect,Sessions & Frequency,Downtime & Recovery,Clinical Considerations & Precautions,FAQs,Related Procedures,Hero Image URL,Added By (Name),Added By Clinic ID,Active Status
proc_lactic-acid-peel,22,Lactic Acid Peel,lactic-acid-peel,skin,Chemical Peels,Gentle alpha-hydroxy-acid peel used for superficial exfoliation and skin brightening.,Lactic acid is an AHA that can exfoliate the stratum corneum while also acting as a humectant. It is commonly used in superficial peel protocols when a milder exfoliating approach is desired.,"1. Dull skin
2. Mild uneven tone
3. Rough surface texture
4. Dry-looking skin","• Gentle superficial exfoliation
• Can improve smoothness and brightness
• Often chosen when a milder peel is appropriate","The skin is cleansed, the peel is applied and then removed or neutralized according to the product protocol.",Usually a series at intervals of a few weeks when clinically indicated.,"Minimal to mild redness, dryness or flaking.",• Do not use on compromised skin. Sun protection is important. Avoid combining multiple strong exfoliants without clinician guidance.,"Q: Is Lactic Acid Peel suitable for everyone?
A: No. Suitability depends on the diagnosis, skin type, active skin conditions and the depth of peel required. A dermatologist should select the formulation and strength.","chemical-peel, skin-rejuvenation, pigmentation-treatment",https://images.unsplash.com/photo-1616394584738-fc6e612e71b9?q=80&w=1200&auto=format&fit=crop,System,,Active
proc_mandelic-acid-peel,23,Mandelic Acid Peel,mandelic-acid-peel,skin,Chemical Peels,Superficial AHA peel using mandelic acid for gradual exfoliation and tone/texture improvement.,"Mandelic acid is an alpha-hydroxy acid with a larger molecular structure than glycolic acid, resulting in slower penetration. It is used in superficial peel protocols for texture, acne and uneven pigmentation.","1. Mild acne and congestion
2. Uneven tone
3. Dullness
4. Rough texture","• Provides controlled superficial exfoliation
• Can improve skin smoothness and tone
• Often selected when a gentler peel is preferred",The skin is cleansed and the peel is applied for a controlled time before removal or neutralization. Mild tingling may occur.,Usually performed as a series of superficial treatments spaced several weeks apart.,Usually mild redness or dryness; visible peeling may be limited.,• Individualize for skin sensitivity and pigment risk. Avoid irritated skin and follow post-peel sun protection.,"Q: Is Mandelic Acid Peel suitable for everyone?
A: No. Suitability depends on the diagnosis, skin type, active skin conditions and the depth of peel required. A dermatologist should select the formulation and strength.","chemical-peel, skin-rejuvenation, pigmentation-treatment",https://images.unsplash.com/photo-1616394584738-fc6e612e71b9?q=80&w=1200&auto=format&fit=crop,System,,Active
proc_tca-peel,24,TCA Peel,tca-peel,skin,Chemical Peels,Trichloroacetic-acid peel whose depth varies with concentration and application technique.,TCA can produce superficial to deeper chemical injury depending on concentration and technique. Superficial TCA peels may improve pigmentation and texture; deeper peels carry substantially more risk and should only be performed by appropriately trained clinicians.,"1. Selected pigmentation
2. Sun-damaged skin
3. Texture irregularity
4. Selected superficial scars","• Controlled exfoliation and resurfacing
• Can improve selected pigmentation and texture
• Stronger concentrations reach deeper skin layers","The clinician prepares the skin and applies TCA in a controlled manner. Frosting, burning or stinging can occur depending on depth. Aftercare is important while the skin heals.",Superficial protocols may be repeated after several weeks; deeper peels are less frequent and require longer recovery.,Superficial peels may flake for several days; deeper peels can require substantially longer healing.,"• TCA depth must be carefully controlled. There is risk of burns, infection and post-inflammatory pigment changes, particularly in darker skin. Strict aftercare is essential.","Q: Is TCA Peel suitable for everyone?
A: No. Suitability depends on the diagnosis, skin type, active skin conditions and the depth of peel required. A dermatologist should select the formulation and strength.","chemical-peel, skin-rejuvenation, pigmentation-treatment",https://images.unsplash.com/photo-1616394584738-fc6e612e71b9?q=80&w=1200&auto=format&fit=crop,System,,Active
proc_combination-acne-peel,25,Combination / Acne Peel,combination-acne-peel,skin,Chemical Peels,"Multi-acid superficial peel selected to address acne, congestion and post-acne discoloration.","Combination peels use more than one exfoliating ingredient, commonly selected according to acne severity, oiliness and pigmentation. The formulation and strength vary by product and clinician.","1. Acne and comedones
2. Post-acne marks
3. Oily skin
4. Uneven texture","• Can reduce superficial congestion
• May improve post-acne discoloration
• Can smooth surface texture","After cleansing and preparation, the selected peel is applied for a controlled time and removed or neutralized according to the formulation.",Typically performed as a series several weeks apart when appropriate.,"Mild redness, dryness and peeling are common with superficial protocols.","• Active dermatitis, infection or significant irritation may require postponement. Avoid unapproved at-home combinations and use sunscreen.","Q: Is Combination / Acne Peel suitable for everyone?
A: No. Suitability depends on the diagnosis, skin type, active skin conditions and the depth of peel required. A dermatologist should select the formulation and strength.","chemical-peel, skin-rejuvenation, pigmentation-treatment",https://images.unsplash.com/photo-1616394584738-fc6e612e71b9?q=80&w=1200&auto=format&fit=crop,System,,Active
proc_pigmentation-peel,26,Pigmentation Peel,pigmentation-peel,skin,Chemical Peels,Chemical peel protocol selected to reduce the appearance of excess superficial pigment.,"Pigmentation peels may use agents such as glycolic acid, salicylic acid, lactic acid or TCA, depending on the diagnosis. A peel should follow assessment of the cause of pigmentation rather than treating every dark patch the same way.","1. Selected superficial hyperpigmentation
2. Post-inflammatory hyperpigmentation
3. Some sun-related pigmentation
4. Selected melasma protocols","• Can reduce superficial excess pigment
• May improve uneven tone
• Often combined with sun protection and topical therapy","The clinician identifies the type and depth of pigmentation, then applies a selected peel under controlled conditions.",Usually a series of treatments spaced weeks apart; maintenance may be required for recurrent pigmentation.,Mild to moderate peeling depending on depth.,"• Pigmentation can worsen after inflammation, especially in darker skin. Diagnosis and strict photoprotection are important.","Q: Is Pigmentation Peel suitable for everyone?
A: No. Suitability depends on the diagnosis, skin type, active skin conditions and the depth of peel required. A dermatologist should select the formulation and strength.","chemical-peel, skin-rejuvenation, pigmentation-treatment",https://images.unsplash.com/photo-1616394584738-fc6e612e71b9?q=80&w=1200&auto=format&fit=crop,System,,Active
proc_under-eye-peel,27,Under-eye Peel,under-eye-peel,skin,Chemical Peels,A carefully selected superficial peel protocol for pigmentation or texture around the eyes.,"Periocular skin is thin and sensitive. Under-eye peels, when used, require conservative formulations and careful placement by an experienced clinician; they are not appropriate for every cause of dark circles.","1. Selected periocular pigmentation
2. Mild surface texture changes
3. Selected superficial discoloration","• May improve selected superficial pigmentation
• Can smooth surface texture
• Non-surgical option when an appropriate cause is identified",The area is assessed carefully and a conservative peel may be applied with strict avoidance of the eye surface. Burning or irritation should not be ignored.,"Usually a series if indicated, with intervals determined by the clinician.","Temporary redness, dryness or peeling may occur.",• Avoid if the skin is irritated or compromised. Eye protection and precise application are essential. Dark circles caused by hollowness or visible vessels may not respond to a peel.,"Q: Is Under-eye Peel suitable for everyone?
A: No. Suitability depends on the diagnosis, skin type, active skin conditions and the depth of peel required. A dermatologist should select the formulation and strength.","chemical-peel, skin-rejuvenation, pigmentation-treatment",https://images.unsplash.com/photo-1616394584738-fc6e612e71b9?q=80&w=1200&auto=format&fit=crop,System,,Active
proc_carbon-laser,28,Carbon Laser,carbon-laser,laser,Laser Treatments,"Laser treatment often used with a carbon mask for oily skin, congestion and superficial skin refresh.",Carbon laser treatment generally refers to laser treatment performed after application of a carbon suspension. It is often used for cosmetic skin refresh rather than deep resurfacing.,"1. Oily skin
2. Visible pores
3. Dullness
4. Mild congestion","• May temporarily improve oiliness and skin smoothness
• Can improve visible brightness
• Usually short recovery",Carbon is applied to the skin and laser energy is delivered over the area using protective eyewear.,Often a series of treatments several weeks apart if needed.,Usually minimal redness or warmth.,• Laser settings must be individualized; sun protection is important and darker skin has greater risk of pigmentary complications.,"Q: Is carbon laser the same as carbon peel?
A: The terms are often used interchangeably, but protocols and devices vary. Ask the clinic which laser and protocol will be used.","carbon-laser-peel, laser-toning, chemical-peel",https://images.unsplash.com/photo-1616394584738-fc6e612e71b9?q=80&w=1200&auto=format&fit=crop,System,,Active
proc_q-switched-ndyag-laser,29,Q-switched Nd:YAG Laser,q-switched-ndyag-laser,laser,Laser Treatments,Short-pulsed Nd:YAG laser used for selected pigmentation and other pigment-containing targets.,"Q-switched Nd:YAG lasers deliver very short, high-peak-power pulses that can target pigment. The wavelength and settings are chosen according to the target and skin type.","1. Selected lentigines and superficial pigment
2. Some tattoos
3. Selected melasma/pigment protocols
4. Certain vascular/pigment targets depending on wavelength","• Precise targeting of selected pigment
• Multiple wavelengths can address different targets
• Can be used with relatively limited downtime in selected protocols","Protective eyewear is used. Laser pulses may feel like snapping or heat; pigment can darken, crust or fade depending on the treatment.","Often multiple sessions are required, with spacing based on the target and healing.",Mild redness and temporary darkening or crusting can occur.,• Incorrect settings can cause burns or pigmentary changes. Diagnosis and experienced laser treatment are especially important in darker skin.,"Q: Can Q-switched laser worsen pigmentation?
A: Yes, pigmentary change is a possible complication, particularly with inappropriate settings or susceptible skin, so careful assessment and sun protection matter.","laser-toning, pigmentation-treatment, carbon-laser",https://images.unsplash.com/photo-1616394584738-fc6e612e71b9?q=80&w=1200&auto=format&fit=crop,System,,Active
proc_pigmentation-laser,30,Pigmentation Laser,pigmentation-laser,laser,Laser Treatments,Laser-based treatment selected for specific causes and depths of unwanted pigmentation.,"There is no single 'pigmentation laser.' Clinicians select laser or light technology based on the type of pigment, depth, skin type and risk of post-inflammatory hyperpigmentation.","1. Selected sun spots or lentigines
2. Some post-inflammatory pigmentation
3. Selected melasma protocols
4. Other diagnosed pigment disorders","• Can target selected pigment more directly than topical care alone
• May improve uneven tone
• Treatment can be tailored to pigment type","The clinician first identifies the pigment source and depth, then chooses wavelength and settings. Several sessions may be needed.",Varies by device and diagnosis; many protocols require more than one session.,Ranges from minimal redness to several days of crusting or peeling depending on laser.,• Darker skin is more susceptible to post-inflammatory hyperpigmentation after some lasers. Recent tanning and active inflammation increase risk.,"Q: Will a laser permanently remove pigmentation?
A: Not necessarily. Some pigment can recur because the underlying trigger remains, and melasma in particular is chronic and relapsing.","laser-toning, q-switched-ndyag-laser, chemical-peel",https://images.unsplash.com/photo-1616394584738-fc6e612e71b9?q=80&w=1200&auto=format&fit=crop,System,,Active
proc_acne-scar-laser,31,Acne Scar Laser,acne-scar-laser,laser,Laser Treatments,Laser resurfacing or scar-targeting laser treatment used to reduce the appearance of acne scars.,"Laser treatment can remodel scarred skin and stimulate collagen. The appropriate laser depends on scar type, skin tone and the balance between desired improvement and downtime.","1. Atrophic acne scars
2. Uneven scar texture
3. Scar-related redness or discoloration with selected lasers
4. Mixed acne-scar patterns","• Can soften scar edges and improve texture
• Stimulates collagen remodeling
• Can be combined with other scar treatments",The skin is prepared and laser energy is delivered in a grid or targeted pattern. Ablative treatments create more visible injury and require more recovery than non-ablative options.,Often multiple sessions spaced weeks to months apart depending on laser depth.,Non-ablative treatment may cause days of redness; ablative fractional resurfacing can require longer healing and crusting.,• Active acne should usually be controlled first. Darker skin requires careful laser selection and settings because pigment changes are more likely.,"Q: Is laser enough for every acne scar?
A: No. Rolling, boxcar and ice-pick scars respond differently, and subcision, TCA CROSS, microneedling or other treatments may be combined.","microneedling, rf-microneedling, subcision, tca-cross",https://images.unsplash.com/photo-1616394584738-fc6e612e71b9?q=80&w=1200&auto=format&fit=crop,System,,Active
proc_medical-acne-procedures,32,Medical Acne Procedures,medical-acne-procedures,skin,Acne & Acne Scar Procedures,Clinician-selected procedures used as part of acne treatment when medicines and skincare alone are insufficient.,"Acne is a medical condition with multiple causes. Procedures can sometimes complement standard acne treatment, but they are selected according to acne type, severity, scarring risk and skin sensitivity rather than used as a one-size-fits-all package.","1. Comedonal acne
2. Selected inflammatory acne
3. Acne-related congestion
4. Acne with early scarring risk","• Can address specific lesions or congestion
• May complement topical or oral treatment
• Treatment can be tailored to acne severity",The dermatologist examines the acne and may combine procedures with medical treatment. Procedure choice depends on lesion type and current inflammation.,Frequency varies widely; some procedures are occasional while others are performed as a short series.,Varies from none to several days depending on procedure.,• Do not substitute cosmetic procedures for diagnosis and medical acne management. Some procedures should be avoided during active irritation or infection.,"Q: Can procedures cure acne permanently?
A: Procedures may help control selected aspects of acne, but acne often requires an ongoing medical and skincare plan.","comedone-extraction, chemical-peel-for-acne, microneedling, acne-scar-treatment",https://images.unsplash.com/photo-1616394584738-fc6e612e71b9?q=80&w=1200&auto=format&fit=crop,System,,Active
proc_comedone-extraction,33,Comedone Extraction,comedone-extraction,skin,Acne & Acne Scar Procedures,Manual removal of selected blackheads and whiteheads by a trained clinician.,Comedone extraction uses sterile instruments and controlled pressure to remove accessible comedones. It can provide immediate clearance of selected lesions but does not treat the underlying tendency to develop acne.,"1. Blackheads
2. Whiteheads
3. Localized comedonal congestion","• Immediate removal of selected comedones
• Can reduce visible congestion
• May complement acne treatment","The skin is cleansed and selected comedones are gently opened and expressed. Improper pressure can injure skin, so professional technique matters.",Usually performed as needed rather than on a fixed course.,Minimal; small areas may be red or tender for a day or two.,• Avoid aggressive squeezing at home. Inflamed acne lesions are generally not appropriate for routine extraction.,"Q: Does comedone extraction cure acne?
A: No. It removes existing comedones but does not prevent new lesions; ongoing acne management may still be needed.","chemical-peel-for-acne, medical-acne-procedures, hydrafacial",https://images.unsplash.com/photo-1616394584738-fc6e612e71b9?q=80&w=1200&auto=format&fit=crop,System,,Active
proc_chemical-peel-for-acne,34,Chemical Peels for Acne,chemical-peel-for-acne,skin,Acne & Acne Scar Procedures,Superficial chemical peels used as an adjunct for selected acne and post-acne marks.,"Acne peels commonly use salicylic acid, glycolic acid or combination formulations to exfoliate the skin and reduce follicular congestion. They are adjunctive treatments rather than replacements for medical acne therapy.","1. Comedonal acne
2. Oily skin
3. Post-acne discoloration
4. Rough texture","• Helps exfoliate follicles and surface skin
• Can reduce comedonal congestion
• May improve post-acne marks","The peel is applied to prepared skin for a controlled period. Mild stinging, redness and later peeling may occur.",Usually a series of treatments several weeks apart when indicated.,"Usually mild redness, dryness or peeling for a few days.","• Active dermatitis, infection or significant irritation may require postponement. Sun protection is important.","Q: Can a chemical peel replace acne medication?
A: Usually not. Peels can complement medical acne treatment, but the underlying acne pattern determines the overall plan.","salicylic-acid-peel, glycolic-acid-peel, comedone-extraction",https://images.unsplash.com/photo-1616394584738-fc6e612e71b9?q=80&w=1200&auto=format&fit=crop,System,,Active
proc_acne-scar-treatment,35,Acne Scar Treatment,acne-scar-treatment,skin,Acne & Acne Scar Procedures,Personalized treatment plan combining procedures according to acne-scar type and severity.,"Acne scars are not one condition. Depressed rolling, boxcar and ice-pick scars often need different approaches, and a dermatologist may combine subcision, microneedling, radiofrequency, laser, TCA CROSS or fillers.","1. Rolling scars
2. Boxcar scars
3. Ice-pick scars
4. Mixed acne-scar patterns","• Can make scars less noticeable
• Treatment is individualized by scar type
• Combination therapy can address different scar mechanisms","The dermatologist maps scar type and depth, then selects one or more procedures. Several treatment cycles are commonly needed because collagen remodeling takes time.",Usually a multi-session plan; intervals vary by procedure and healing.,Ranges from 1–2 days for some procedures to a week or longer for more aggressive resurfacing.,• Active acne should generally be controlled first. Pigment risk and healing time vary with skin type and treatment depth.,"Q: Can acne scars be completely removed?
A: Usually the goal is improvement rather than complete removal. Different scar types respond differently and several sessions may be needed.","microneedling, rf-microneedling, subcision, tca-cross, acne-scar-laser",https://images.unsplash.com/photo-1616394584738-fc6e612e71b9?q=80&w=1200&auto=format&fit=crop,System,,Active
proc_microneedling,36,Microneedling,microneedling,skin,Acne & Acne Scar Procedures,Collagen-induction procedure using fine needles to create controlled micro-injuries in the skin.,"Microneedling creates numerous controlled microchannels that trigger a wound-healing response and collagen production. It is used for acne scars, texture, pores and some pigmentation concerns.","1. Acne scars
2. Uneven texture
3. Enlarged pores
4. Fine lines","• Stimulates collagen remodeling
• Can improve texture and scar appearance
• Generally suitable for a wide range of skin tones when properly performed","After topical numbing when needed, a sterile device is moved over the skin at controlled depth. Pinpoint bleeding may occur at deeper settings.","Often 3–6 treatments spaced about 4–6 weeks apart, but protocol varies.",Redness and sensitivity commonly last 1–3 days; deeper treatment can take longer.,"• Avoid active infection, significant inflammatory skin disease and poor wound healing. Do not use non-sterile home devices for medical treatment.","Q: Does microneedling hurt?
A: Topical numbing can substantially reduce discomfort; patients usually feel pressure, vibration or mild prickling.","rf-microneedling, acne-scar-treatment, prp-facial, texture-improvement",https://images.unsplash.com/photo-1616394584738-fc6e612e71b9?q=80&w=1200&auto=format&fit=crop,System,,Active
proc_rf-microneedling,37,RF Microneedling,rf-microneedling,skin,Acne & Acne Scar Procedures,Microneedling combined with radiofrequency energy to stimulate collagen at controlled depths.,"RF microneedling uses needles to deliver radiofrequency heat into the skin. Combining mechanical micro-injury with controlled thermal energy can stimulate collagen remodeling and is used for scars, texture and selected laxity concerns.","1. Acne scars
2. Skin texture
3. Enlarged pores
4. Mild skin laxity","• Combines microneedling with controlled thermal energy
• Can improve scars and texture
• Usually less surface injury than fully ablative resurfacing",Topical numbing is commonly used. Needles enter the skin and radiofrequency energy is delivered at selected depths before the device is withdrawn.,"Usually a series of about 3–4 treatments spaced several weeks apart, depending on device and indication.","Redness, swelling and pinpoint marks commonly last a few days.","• Device settings and needle depth matter. Burns and pigment changes are possible, particularly with poor technique. Avoid active infection or significant inflammation.","Q: Is RF microneedling the same as regular microneedling?
A: No. RF microneedling adds radiofrequency heat below the skin surface, so the treatment depth and energy settings differ.","microneedling, acne-scar-treatment, rf-skin-tightening",https://images.unsplash.com/photo-1616394584738-fc6e612e71b9?q=80&w=1200&auto=format&fit=crop,System,,Active
proc_subcision,38,Subcision,subcision,skin,Acne & Acne Scar Procedures,Minor procedure that releases fibrous bands tethering depressed acne scars to deeper tissue.,Subcision uses a needle or cannula placed beneath a depressed scar to sever fibrous attachments that pull the scar downward. It is particularly relevant to rolling or tethered scars.,"1. Rolling acne scars
2. Tethered depressed scars
3. Selected depressed traumatic scars","• Releases tethered scar tissue
• Can raise depressed scars
• Often combined with resurfacing or fillers for mixed scar patterns","After local anesthesia, a needle or cannula is passed beneath the scar to release fibrous bands. Bruising and swelling are common afterward.",Often performed as a series separated by several weeks to months depending on scar response.,"Bruising, swelling and tenderness can last several days; occasionally longer.","• Infection, hematoma, post-inflammatory pigment change and irregular contour are possible. Procedure should be performed by an experienced clinician.","Q: Does subcision work for ice-pick scars?
A: It is generally more useful for rolling/tethered scars. Ice-pick scars often need a focal treatment such as TCA CROSS or another approach.","tca-cross, acne-scar-treatment, microneedling",https://images.unsplash.com/photo-1616394584738-fc6e612e71b9?q=80&w=1200&auto=format&fit=crop,System,,Active
proc_tca-cross,39,TCA CROSS,tca-cross,skin,Acne & Acne Scar Procedures,Focal trichloroacetic-acid application used mainly for ice-pick and selected boxcar acne scars.,TCA CROSS means chemical reconstruction of skin scars. High-concentration TCA is applied precisely inside selected atrophic scars to stimulate localized remodeling. It is not the same as applying a TCA peel to the whole face.,"1. Ice-pick acne scars
2. Deep narrow boxcar scars
3. Selected atrophic scars","• Targets individual depressed scars
• Can improve scar depth over multiple treatments
• Can complement resurfacing or subcision","The clinician applies TCA focally into individual scar depressions. A white frosting reaction is expected at the treated sites, followed by crusting and healing.",Usually multiple sessions separated by several weeks; exact frequency depends on response and skin type.,Crusting and redness can last several days; pigment changes may persist longer.,"• Higher concentrations increase risk of post-inflammatory pigment changes and scarring if misapplied. Precise professional application is essential, especially in darker skin.","Q: Is TCA CROSS the same as a TCA facial peel?
A: No. CROSS applies TCA focally inside individual scars, whereas a peel treats a broader skin area.","acne-scar-treatment, subcision, chemical-peel",https://images.unsplash.com/photo-1598440947619-2c35fc9aa908?q=80&w=1200&auto=format&fit=crop,System,,Active
proc_hyperpigmentation-treatment,40,Hyperpigmentation Treatment,hyperpigmentation-treatment,skin,Pigmentation & Uneven Skin Tone,"Diagnosis-led treatment for excess skin pigment using sun protection, topical therapy and selected procedures.","Hyperpigmentation has many causes, including melasma, post-inflammatory hyperpigmentation and sun-induced pigment. Treatment should begin by identifying the cause; procedures may include chemical peels, lasers or light treatments in selected patients.","1. Melasma
2. Post-inflammatory hyperpigmentation
3. Sun spots
4. Uneven facial tone","• Targets the cause and appearance of excess pigment
• Can combine home treatment with procedures
• Long-term control is possible for some conditions, although recurrence can occur","The clinician evaluates distribution, triggers and skin type. Treatment may combine daily photoprotection with topical agents and, when appropriate, a procedure.",Usually a longer-term plan; procedural sessions vary by diagnosis and response.,"Depends on the treatment selected, from none to several days.","• Sun protection is central. Aggressive procedures can worsen pigmentation, especially in darker skin. Melasma often needs ongoing maintenance.","Q: Can hyperpigmentation be permanently cured?
A: It depends on the cause. Some spots can be treated effectively, while conditions such as melasma commonly recur without maintenance and trigger control.","pigmentation-laser, chemical-peel, laser-toning",https://images.unsplash.com/photo-1573496359142-b8d87734a5a2?q=80&w=1200&auto=format&fit=crop,System,,Active
proc_anti-aging-treatments,41,Anti-aging Treatments,anti-aging-treatments,aesthetics,Anti-Aging & Facial Aesthetics,"Umbrella category covering non-surgical treatments for wrinkles, volume loss, pigmentation and skin laxity.","Anti-ageing treatment is a category, not a single procedure. Depending on the concern, clinicians may use botulinum toxin, fillers, lasers, peels, microneedling, radiofrequency, ultrasound or skin-quality treatments.","1. Fine lines and wrinkles
2. Loss of facial volume
3. Skin laxity
4. Photoaging and uneven texture","• Addresses different components of facial ageing
• Can be tailored to specific concerns
• Non-surgical options can provide gradual or targeted changes","A clinician assesses facial movement, skin quality, volume and laxity before recommending treatments. Different procedures have very different risks and recovery.",Varies from one-time treatments to maintenance every few months or years depending on modality.,Ranges from none to several days or longer.,• Realistic expectations are important. Injectable and energy-based procedures carry procedure-specific risks and should be performed by appropriately trained clinicians.,"Q: What is the best anti-ageing procedure?
A: It depends on whether the main issue is movement-related lines, volume loss, skin quality or laxity.","botox, dermal-fillers, rf-skin-tightening, hifu, microneedling",https://images.unsplash.com/photo-1616394584738-fc6e612e71b9?q=80&w=1200&auto=format&fit=crop,System,,Active
proc_botox-botulinum-toxin,42,Botox / Botulinum Toxin,botox-botulinum-toxin,aesthetics,Anti-Aging & Facial Aesthetics,Injectable botulinum toxin that temporarily reduces targeted muscle activity to soften dynamic lines.,"Botulinum toxin is a prescription medicine injected into selected muscles. It reduces nerve-to-muscle signaling, temporarily weakening the targeted muscle and softening dynamic wrinkles. It is also used medically for conditions such as excessive sweating.","1. Frown lines
2. Forehead lines
3. Crow's feet
4. Selected facial muscle-related concerns","• Softens dynamic facial lines
• Results develop over several days
• Treatment is quick and does not require surgery","A clinician maps facial movement and injects small amounts into selected muscles. Small bumps, redness or bruising can occur temporarily.","Effects commonly become noticeable within days and last about 3–4 months, though duration varies by person and area.",Usually no meaningful downtime; small injection-site bumps or bruises can occur.,"• Must be prescribed and administered in an appropriate medical setting. Tell the clinician about neuromuscular disorders, pregnancy/breastfeeding and medications.","Q: Will Botox freeze my face?
A: Appropriate dosing aims to reduce targeted muscle activity while preserving natural expression; excessive or misplaced treatment can produce unwanted weakness.","dermal-fillers, skin-boosters, excessive-sweating-treatment",https://images.unsplash.com/photo-1616394584738-fc6e612e71b9?q=80&w=1200&auto=format&fit=crop,System,,Active
proc_dermal-fillers,43,Dermal Fillers,dermal-fillers,aesthetics,Anti-Aging & Facial Aesthetics,"Injectable materials used to restore volume, soften selected lines and enhance facial contours.","Dermal fillers are injectable medical devices/materials. Hyaluronic acid is commonly used, while other filler materials have different properties and durations. Fillers can add volume to lips, cheeks, chin or other areas and may also improve selected scars.","1. Facial volume loss
2. Lip augmentation
3. Cheek or chin contouring
4. Selected folds and scars","• Immediate volume change with many fillers
• Can restore or reshape selected facial areas
• Some hyaluronic-acid fillers can be dissolved with hyaluronidase when clinically appropriate","The clinician assesses anatomy and goals, cleans the skin and injects filler using a needle or cannula. Swelling and bruising are common after treatment.","Often one treatment with review after swelling settles; duration depends strongly on product, area and metabolism.","Swelling, tenderness and bruising commonly last several days; some areas can remain swollen longer.",• Rare but serious vascular complications can occur. Fillers should only be injected by an appropriately trained medical professional using approved products.,"Q: Are all fillers reversible?
A: No. Hyaluronic-acid fillers can often be treated with hyaluronidase, but other filler materials may not be readily reversible.","botox, skin-boosters, facial-contouring",https://images.unsplash.com/photo-1616394584738-fc6e612e71b9?q=80&w=1200&auto=format&fit=crop,System,,Active
proc_skin-boosters,44,Skin Boosters,skin-boosters,aesthetics,Anti-Aging & Facial Aesthetics,Injectable skin-quality treatment intended to improve hydration and selected aspects of skin texture and elasticity.,"Skin boosters are a broad category of injectable products placed superficially or within the dermis. Formulations vary and may include hyaluronic acid or other materials, so evidence, indications and duration depend on the specific product.","1. Dehydrated-looking skin
2. Fine superficial lines
3. Reduced skin elasticity
4. Skin-quality concerns","• Can improve hydration and skin quality
• Usually changes skin quality rather than facial structure
• Some products may stimulate collagen or other remodeling responses","The clinician cleans the skin, may apply numbing, and delivers multiple small injections across the treatment area.",Often performed as an initial series followed by maintenance; exact schedule is product-specific.,"Small bumps, redness, swelling or bruising can occur for a few days.","• The term 'skin booster' covers different products. Patients should ask exactly what product is being injected, its approved use and potential complications.","Q: Are skin boosters the same as dermal fillers?
A: Not exactly. Skin boosters are generally intended to improve skin quality and hydration, while fillers are primarily used to add or restore volume, although products can overlap.","dermal-fillers, skin-hydration-treatment, prp-facial",https://images.unsplash.com/photo-1616394584738-fc6e612e71b9?q=80&w=1200&auto=format&fit=crop,System,,Active
proc_prp-facial,45,PRP Facial,prp-facial,aesthetics,Anti-Aging & Facial Aesthetics,"Autologous platelet-rich plasma used on facial skin, often alongside microneedling or injections.","PRP facial treatment uses a patient's own blood, processed to concentrate platelets and growth factors. PRP may be applied during microneedling or injected, with evidence varying by indication and protocol.","1. Skin texture
2. Fine lines
3. Acne scars as an adjunct
4. Selected skin-quality concerns","• Uses the patient's own blood product
• May support collagen remodeling
• Can be combined with microneedling in some protocols",A small blood sample is drawn and centrifuged. The platelet-rich portion is then applied or injected according to the selected protocol.,Often performed as a series of treatments spaced several weeks apart; exact protocol varies.,"Redness, swelling, pinpoint bleeding or bruising can occur, particularly when combined with microneedling or injections.",• Evidence varies by indication. Sterile processing is essential. Tell the clinician about bleeding disorders and medications that affect clotting.,"Q: Is PRP a permanent skin treatment?
A: No. Any improvement is not necessarily permanent, and the strength of evidence varies by indication and treatment protocol.","microneedling, skin-boosters, prp-therapy",https://images.unsplash.com/photo-1616394584738-fc6e612e71b9?q=80&w=1200&auto=format&fit=crop,System,,Active
proc_rf-skin-tightening,46,RF Skin Tightening,rf-skin-tightening,aesthetics,Anti-Aging & Facial Aesthetics,Non-surgical radiofrequency treatment that heats deeper skin layers to stimulate collagen remodeling and improve firmness.,"Radiofrequency devices deliver electromagnetic energy that produces controlled heating in tissue. Over time, the wound-healing response can increase collagen remodeling and improve the appearance of mild skin laxity.","1. Mild facial skin laxity
2. Neck laxity
3. Fine lines
4. Selected body skin laxity","• Non-surgical approach to mild laxity
• Can improve firmness and texture gradually
• Usually little interruption to daily activities",The skin is cleansed and a handpiece is moved over the treatment area. Patients typically feel warmth and sometimes tingling.,Some people need 2–6 treatments; others may receive a single treatment depending on device and goals. Changes can develop over months.,Usually minimal; temporary redness or swelling may occur.,"• Excessive energy can cause burns. Device choice and settings matter, and active skin disease should be discussed with the clinician.","Q: How quickly does RF tightening work?
A: Some changes can be noticed early, but collagen remodeling develops over months and results vary by device and patient.","hifu, rf-microneedling, anti-aging-treatments",https://images.unsplash.com/photo-1616394584738-fc6e612e71b9?q=80&w=1200&auto=format&fit=crop,System,,Active
